name	value
© Springer Science+Business Media New York 2015. This is a final draft version of an article whose final and definitive form has been published by Springer. Published in this repository with the kind permission of the publisher.	1
© 2021 Kulttuurintutkimuksen seura	1
© 2017. American Geophysical Union.	1
© Springer-Verlag Berlin Heidelberg 1999	1
© The Royal Society of Chemistry 2014. This is an open access article licensed under a Creative Commons Attribution 3.0 Unported Licence.	1
Vänttinen, Minttu and University of Jyväskylä	1
© Kröger & Sosiaalipoliittinen yhdistys, 2012.	1
© 2021 Suomen historiallinen seura ry	1
© 2021 Society for Psychophysiological Research	1
© 2018 American Physical Society	1
© the Authors, 2017. Published by Blackwell Publishing Ltd. This is an open access article distributed under the terms of the Creative Commons License.	1
"© 2012 Tarnanen et al.; licensee BioMed Central Ltd. 


This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/2.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited."	1
© 2022 International Council for the Exploration of the Sea	1
© 2024 selection and editorial matter, Merja Elo, Jonne Hytönen, Sanna Karkulehto, Teea Kortetmäki, Janne S. Kotiaho, Mikael Puurtinen, and Miikka Salo; individual chapters, the contributor	1
Väkeväinen, Nina	1
© 2007 Tanja Kotro and the Agora Center, University of Jyväskylä	1
© 2015 Journal of Geotechnical and Transportation Engineering. This is an open access article published in Journal of Geotechnical and Transportation Engineering.	1
© Authors and Finnish Institute for Educational Research, 2021	1
© the Authors & ACM, 2017. This is a final draft version of an article whose final and definitive form has been published by ACM. Published in this repository with the kind permission of the publisher.	1
© Itkonen & Haaga-Helia ammattikorkeakoulu, 2017.	1
© the Authors, 2018. This is a final draft version of an article whose final and definitive form has been published by National Research Council Canada. Published in this repository with the kind permission of the publisher.	1
© Mänttäri-van der Kuip 2023	1
© 2019 Informa UK Limited, trading as Taylor & Francis Group	1
© Author(s) 2022.	1
© IEEE 2019	1
©  Springer Nature Switzerland AG 2022	1
© The Author, 2012	1
© 2022 Suomen sukututkimusseura	1
© 2019 Firenze University Press.	1
"© the Authors & © Department of Marketing, Faculty of Management Sciences, 
Rivers State University of Science and Technology, Port Harcourt, 2017."	1
© 2021 American Physical Society	1
© 2022 Kulttuurintutkimus	1
© 2017 American College of Sports Medicine. This is a final draft version of an article whose final and definitive form has been published by LWW. Published in this repository with the kind permission of the publisher.	1
© 2020 The Author(s)	1
© 2021 The Authors. Published by Elsevier Inc.	1
© 2022 Kasvatus & Aika	1
© the Authors & the Publishers, 2017.	1
"© 2014 Piitulainen et al.; licensee BioMed Central Ltd.

This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly credited. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated."	1
© IEEE, 2017.	1
© Koulutuksen tutkimuslaitos ja kirjoittajat	1
© Kirjoittajat & Liikuntatieteellinen seura, 2018	1
© 2018 Elsevier Inc. All rights reserved.	1
© Suomen Kotiseutuliitto / kirjoittajat 2022	1
© 2016 Taru Siekkinen et al. This is an Open Access article distributed under the terms of the Creative Commons Attribution 4.0 International License.	1
© 2014 IEEE. This is a final draft version of an article whose final and definitive form has been published by IEEE. Published in this repository with the kind permission of the publisher.	1
© Kannasoja	1
© 2018 Tekijä(t) ja ProComma Academic	1
© 2016 Elsevier Inc. This is a final draft version of an article whose final and definitive form has been published by Elsevier. Published in this repository with the kind permission of the publisher.	1
© 2020 WILEY‐VCH Verlag GmbH & Co. KGaA, Weinheim	1
© Wiley. This is a final draft version of an article whose final and definitive form has been published at 10.1111/spol.12045 by Wiley.	1
© 2023 The Authors. Published by Elsevier B.V.	1
© 2021 Architectural Research in Finland	1
© 2023 Janus Sosiaalipolitiikan ja sosiaalityön tutkimuksen aikakauslehti	1
©  The Authors 2020	1
© 2016 Elsevier Ltd.	1
"© 2015 The Author(s). Published by Taylor & Francis.
This is an Open Access article distributed under the terms of the Creative Commons Attribution-NonCommercial-NoDerivatives
License."	1
© 2020 Olli Merjovaara, Tuula Nousiainen, Leena Turja and Susanna Isotalo & Suomen Varhaiskasvatus ry. – Early Childhood Education Association Finland	1
© 2016 The Authors and TAPPI Journal. This is a final draft version of a paper whose definitive and final version is published by TAPPI Press. Published in this repository with the kind permission of the publisher.	1
© 2021 The Authors. Functional Ecology published by John Wiley & Sons Ltd on behalf of British Ecological Society.	1
© Toivanen & Jyväskylän yliopisto, 2015.	1
"© The Author(s). Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea
ja tulostaa henkilökohtaista käyttöä varten. Käyttö
kaupallisiin tarkoituksiin on kielletty."	1
© 2018 The Authors. Published by Elsevier Inc. This is an open access article distributed under the terms of the Creative Commons License.	1
© 2011 American Institute of Physics. Published in this repository with the kind permission of the publisher.	1
© Springer (2007). This is a final draft version of an article whose final and definitive form has been published by Springer.	1
© 2019 Siirtolaisuusinstituutti & Tekijä(t)	1
© 2022 by the authors. Licensee MDPI, Basel, Switzerland	1
© Elsevier, 2018.	1
© 2015 American Physical Society. This is an Open Access article under the terms of the Creative Commons License which permits use, distribution and reproduction in any medium, provided the original work is properly cited.	1
© Authors 2020	1
© The Author(s) 2023. Published by Oxford University Press on behalf of the European Public Health Association.	1
© Kirjoittajat & Hallinnon tutkimuksen seura, 2004.	1
© Kasvun ja vanhenemisen tutkijat, 2020	1
© 2019 Maaseudun uusi aika ry	1
© Kirjoittajat ja Terveyden ja hyvinvoinnin laitos, 2016.	1
"© 2012 Rantanen et al. licensee BioMed Central Ltd. 


This is an Open Access article distributed under the terms of the Creative Commons Attribution License ( http://creativecommons.org/licenses/by/2.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited."	1
© Tekijä/The Author. Tämän tekstiteoksen käyttöoikeutta koskee Creative Commons Nimeä-Epäkaupallinen-Ei muutettuja teoksia 1.0 Suomi-lisenssi.	1
"© Proceedings of the 20th International Sustainable Development Research Conference
Trondheim 18-20 June 2014."	1
© 2022 The Author(s).	1
Haaparinne, Zachris	1
© Jyväskylän yliopisto, Opettajankoulutuslaitos, 2021	1
© the Authors & Cognitive Science Society, 2016. This is a final draft version of an article whose final and definitive form has been published in the conference proceeding by Cognitive Science Society.	1
© Kirjoittajat & Jyväskylän yliopisto, 2018	1
© 2023 Elsevier	1
© Minister of Industry, 2017.  Use of this publication is governed by the Statistics Canada Open Licence Agreement.	1
© authors, 2022	1
© 2016 The Authors. This is an open access article distributed under the Creative Commons License.	1
© The Author(s) 2015	1
© 2021 The Authors. Published by Elsevier Ltd on behalf of Primary Care Diabetes Europe.	1
© Mykkänen & Tieteellisten seurain valtuuskunta, 2018	1
© Authors. This article is distributed under the terms of the Creative Commons Attribution Non-Commercial License, which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited. (CC BY-NC-ND 3.0)	1
© 2019 Liikuntatieteellinen seura	1
© 2020 Media- ja viestintätieteellinen seura MEVI ry	1
© 2017 by the National Strength & Conditioning Association. This is a final draft version of an article whose final and definitive form has been published by Lippincott Williams & Wilkins. Published in this repository with the kind permission of the publisher.	1
© University of Jyväskylä and “Everyday Creativity” Consortium, 2019	1
© The Author	1
© Springer. This is an electronic final draft version of an article whose final and definitive form has been published in the journal 'Child Indicators Research' by Springer.	1
© 2007 Pertti Saariluoma and the Agora Center, University of Jyväskylä	1
© The Author(s) 2019.	1
© Kirjoittaja & Suomen Kansantietouden Tutkijain Seura, 2019	1
"© the Authors &	Finnish Economic Association, 2011. Published in this repository with the kind permission of the publisher."	1
© 2022 the author(s), published by De Gruyter	1
© 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.	1
© 2007 Sage Publications. This is a Final Draft version of an article whose final and definitive version has been published by Sage Publications.	1
© 2014 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim. This is a final draft version of an article whose final and definitive form has been published by Wiley. Published in this repository with the kind permission of the publisher.	1
© 2023 European Organization for Nuclear Research. Published by Elsevier B.V. Funded by SCOAP3.	1
© 2022 Nykänen, Ojanen, Heikkinen, Fogelholm and Kyröläinen.	1
© 2020 Monitor Racism	1
© 2023 The Author(s). Published by IOP Publishing Ltd	1
© 2016 The Author(s) This is a final draft version of an article whose final and definitive form has been published by The Royal Society. Published in this repository with the kind permission of the publisher.	1
© 2021 Työelämän tutkimus	1
© 2021 The Author(s). Published with license by Taylor & Francis Group, LLC	1
© 2016 IEEE. This is a final draft version of an article whose final and definitive form has been published in the conference proceeding by IEEE. Published in this repository with the kind permission of the publisher.	1
© 2019 Elsevier BV	1
© Springer, 2018. This is a final draft version of an article whose final and definitive form has been published by Springer. Published in this repository with the kind permission of the publisher.	1
© Kirjoittajat & Historian ja etnologian laitos, Jyväskylän yliopisto, 2017.	1
© 2022 Janus Sosiaalipolitiikan ja sosiaalityön tutkimuksen aikakauslehti	1
©  Kirjoittaja & Maaseudun uusi aika -yhdistys, 2019	1
© The Authors, 2018.	1
© 2022 The Author. Published by Elsevier B.V.	1
© 2023 The Authors	1
© the Authors, published by EDP Sciences, 2017. This is an open access article distributed under the terms of the Creative Commons License.	1
© Emerald Publishing Limited, 2018. This is a final draft version of an article whose final and definitive form has been published by Emerald Publishing Limited. Published in this repository with the kind permission of the publisher.	1
©  The Author(s) 2022	1
© 2023 Copyright held by the owner/author(s).	1
© 2021 The Author(s). Published by Elsevier Ltd.	1
© the Authors & Royal Society	1
© 2020 Elsevier B.V.	1
Kankainen, Anu	1
© 2023 by Verlag Barbara Budrich GmbH, Opladen, Berlin & Toronto	1
© 2019 ACM.	1
© the Authors & Vilniaus universiteto leidykla, 2017.	1
© 2019 Published by Elsevier B.V. on behalf of Shanghai University of Sport.	1
©  Kaasik-Krogerus & Valtiotieteellinen yhdistys, 2018.	1
Raudasoja, Mirjam and Aunola, Kaisa	1
© Kirjoittajat & Westermarck-seura, 2021	1
© Valtioneuvoston kanslia	1
© 2020 The Authors. Computer Applications in Engineering Education published by Wiley Periodicals LLC	1
© Jakonen & Acatiimi, 2019.	1
© Springer Science+Business Media Dordrecht 2016. This is a final draft version of an article whose final and definitive form has been published by Springer. Published in this repository with the kind permission of the publisher.	1
© The Author(s) 2016. Co-published with JHEP. This is an open-access article funded by SCOAP3 and licensed under CC BY 4.0.	1
© the Authors, 2018. This is an open access article distributed under the terms of a Creative Commons License.	1
© Miikka Pyykkönen 2015. This is an open access article published by Copenhagen Business School.	1
